"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Jalen Duren","Det","C","21","21","23.9","14.9","27","60","0.583","108","0.704","0","0","0.704","0.696","8.9","9.4","2.5","0.3","1.4","1.9","18.3","11.4","20.8","9.9","123.4","99.8"
"","Draymond Green","Gol","F","34.8","19","28.5","14.6","25.3","48","0.604","55","0.473","72","0.403","0.547","0.567","8.8","6.2","6","1","1.1","2.3","15.1","14.8","21.1","9.7","113.3","99.9"
"","Cody Martin","Cha","F","29.2","21","25.4","14.6","11.2","32","0.656","76","0.539","75","0.36","0.54","0.557","8.8","4.7","2.4","1.1","0.7","0.9","13.5","11.2","15.9","7.3","118.7","109.5"
"","Kevin Porter Jr.","Lac","G-F","24.6","21","18.7","27.5","20.8","35","0.629","137","0.496","49","0.184","0.438","0.459","8.8","3.5","2.8","0.9","0.3","2.3","12.3","11.6","15.1","9.5","88.3","104.6"
"","Gary Trent Jr.","Mil","G","25.9","18","25.2","14.9","7.5","18","0.889","48","0.396","87","0.391","0.519","0.546","8.7","2.1","1","1","0","0.6","10.7","9.7","11.7","4.2","107","108.9"
"","Nic Claxton","Bro","C","25.6","16","24.8","15","16.9","34","0.441","97","0.639","1","0","0.633","0.615","8.7","7.6","2.3","0.6","1.3","1.3","16.3","10.9","18.6","8.6","119.9","106.8"
"","Julian Strawther","Den","G","22.6","19","20.6","17.1","11.9","34","0.794","61","0.492","65","0.4","0.548","0.585","8.7","2.1","1.4","0.8","0.4","0.9","10.7","10.1","12.1","5.7","112.5","105.7"
"","Kentavious Caldwell-Pope","Orl","G","31.8","22","29.8","12.3","9.2","27","0.963","51","0.608","107","0.318","0.519","0.559","8.6","2.2","1.8","1.4","0.6","0.7","10.8","10.5","12.6","4.4","113.6","104.4"
"","Ziaire Williams","Bro","F","23.2","21","21.8","19.2","10.7","44","0.795","93","0.495","66","0.273","0.459","0.507","8.6","4.4","1.1","1","0.3","0.9","13","9.8","14.1","6.4","103.5","106"
"","Jake LaRavia","Mem","F","23.1","22","23.1","14.7","18.4","52","0.692","85","0.565","48","0.396","0.575","0.606","8.6","4.6","3.8","0.8","0.7","1.4","13.2","12.4","17","9.2","123.3","104.1"
"","Mike Conley","Min","G","37.1","16","25.8","16.4","16.2","28","0.893","35","0.257","84","0.369","0.466","0.518","8.5","2.9","4.7","1.6","0.2","1.4","11.4","13.2","16.1","7.6","113.1","106.6"
"","Georges Niang","Cle","F","31.5","22","20.4","17.8","11.6","9","0.778","54","0.648","106","0.349","0.566","0.573","8.5","3.6","1.2","0.4","0.2","1","12.2","9.7","13.4","6.5","107.9","104"
"","Josh Okogie","Pho","G","26.3","10","15.8","21.2","13.4","20","0.65","39","0.538","19","0.526","0.621","0.636","8.5","3.5","0.6","0.9","0.1","0.9","12","9.1","12.6","6.6","118.5","108.5"
"","Jaylen Nowell","Nor","G","25.4","8","21","21.6","9.8","11","0.636","46","0.391","27","0.296","0.411","0.43","8.4","2.5","2.3","0.1","0.5","1","10.9","10.6","13.1","6.9","94.4","120.1"
"","A.J. Green","Mil","G","25.2","19","20.2","13.6","10.3","6","0.833","9","0.667","95","0.495","0.736","0.741","8.3","2.1","0.8","0.6","0.1","0.6","10.4","9.2","11.2","4.8","130.3","107.6"
"","Cameron Payne","Nyk","G","30.3","17","17.8","18.8","8","11","0.818","47","0.426","68","0.441","0.565","0.58","8.2","1.9","3.4","0.7","0.4","0.6","10.1","11.5","13.5","8.4","126.6","105.2"
"","Wendell Carter Jr.","Orl","C-F","25.6","10","24.9","13.4","15.1","26","0.769","33","0.758","23","0.174","0.554","0.608","8.2","7.8","2.3","1.1","0.6","1","16","10.5","18.3","8.5","125.1","96.7"
"","Goga Bitadze","Orl","C-F","25.4","18","22.2","14.1","21.3","31","0.774","85","0.729","7","0","0.674","0.7","8.2","7.1","1.8","0.8","1.7","1.4","15.3","10","17.1","8.5","127.8","95.9"
"","Garrison Mathews","Atl","G","28.1","18","17.9","14.7","9.5","29","0.828","15","0.4","80","0.463","0.647","0.682","8.2","1.1","1.4","0.7","0.2","0.6","9.2","9.6","10.7","5.2","131.4","112.1"
"","Anthony Black","Orl","G","20.9","23","23.9","18.5","25.3","59","0.729","99","0.495","57","0.281","0.468","0.519","8.2","2.7","4","0.9","0.7","2.3","10.9","12.2","14.9","7.5","98.5","101.6"
"","Andre Drummond","Phi","C","31.3","17","20.3","19.6","21.6","47","0.553","99","0.545","6","0.167","0.529","0.545","8.1","8.2","0.6","1.3","0.5","1.7","16.2","8.6","16.8","6.7","103.1","98.5"
"","Moses Moody","Gol","G","22.5","20","16.2","19.8","11.9","29","0.759","52","0.519","73","0.384","0.552","0.581","8","2","1","0.3","0.3","0.9","10","9","11","6.2","110.4","107.9"
"","Brandin Podziemski","Gol","G","21.8","19","24.2","16.9","13.5","24","0.75","86","0.535","68","0.206","0.435","0.462","8","4.6","3.5","0.8","0.4","1.3","12.6","11.5","16.2","8.3","103.8","104.8"
"","Larry Nance Jr.","Atl","F-C","31.9","9","15.6","13.8","8.5","2","0.5","21","0.667","22","0.636","0.814","0.809","7.9","2.4","1.2","0.8","0.3","0.4","10.3","9.1","11.6","7.3","148","112"
"","Andrew Nembhard","Ind","G-F","24.9","9","24.5","16.9","14.9","14","0.857","49","0.449","19","0.263","0.434","0.479","7.9","1.8","4.6","1","0","1.3","9.7","12.4","14.2","6.6","103.8","114.6"
"","Trayce Jackson-Davis","Gol","F","24.8","20","17","17.9","12.6","28","0.571","117","0.607","1","0","0.602","0.606","7.9","5.2","2.1","0.3","0.7","0.9","13.1","10","15.1","10.4","123.5","105.3"
"","Brice Sensabaugh","Uta","F","21.1","15","16.4","20.6","19.1","12","0.917","33","0.485","60","0.417","0.575","0.6","7.9","2.3","0.7","0.5","0.1","1.5","10.2","8.6","10.9","5.7","103.5","118.5"
"","Spencer Dinwiddie","Dal","G","31.7","20","21.1","15.1","11.3","42","0.857","46","0.457","71","0.366","0.513","0.576","7.8","1.6","3.2","0.7","0.3","0.8","9.4","11","12.6","6.5","124.3","110.2"
"","Sam Hauser","Bos","F","27","17","22.3","14.3","5.6","1","1","20","0.75","97","0.351","0.564","0.566","7.8","3.5","1.2","0.8","0.2","0.4","11.4","9","12.5","5.7","118.4","107.9"
"","Jalen Smith","Chi","F-C","24.7","19","14.5","21","10.3","28","0.75","50","0.56","63","0.365","0.553","0.583","7.7","5.2","0.7","0.4","0.6","0.7","12.8","8.4","13.6","8.4","115.7","108.4"
"","Nikola Jovic","Mia","F","21.5","14","18.2","18","8.3","20","0.8","44","0.568","44","0.318","0.523","0.558","7.7","3.7","1.3","0.9","0.1","0.6","11.4","9","12.7","7.3","113.7","105.3"
"","Tristan da Silva","Orl","F","23.6","19","24.1","14.2","6.9","14","0.786","64","0.484","70","0.343","0.5","0.517","7.6","3.6","1.7","0.4","0.2","0.5","11.3","9.3","12.9","6","110.2","106"
"","Jeremiah Robinson-Earl","Nor","F","24.1","22","21.1","15.4","12.6","25","0.88","81","0.531","57","0.333","0.518","0.554","7.5","5.2","1.1","0.7","0.1","0.9","12.7","8.6","13.8","6.6","113.7","115.6"
"","Quenton Jackson","Ind","G","26.2","13","17.9","16.6","12.1","17","0.706","49","0.592","23","0.391","0.59","0.61","7.5","1.9","2.2","0.7","0.4","0.8","9.4","9.6","11.5","7","121.9","111.4"
"","Noah Clowney","Bro","F-C","20.4","15","16.6","20.6","10.4","21","0.714","33","0.424","61","0.377","0.516","0.542","7.5","3.1","0.7","0.3","0.6","0.7","10.6","8.1","11.3","6.1","106","105.3"
"","Kyshawn George","Was","F","21","19","26.2","15","11.3","26","0.731","52","0.5","97","0.247","0.416","0.446","7.5","4.1","2.6","0.7","0.7","1","11.6","10.2","14.3","6.6","96.3","112.5"
"","Jordan Miller","Lac","G","24.9","12","14.3","23","15.8","22","0.773","52","0.558","17","0.294","0.529","0.572","7.5","2.1","1.3","0.4","0.2","1.1","9.6","8.8","10.8","7.7","110","107.8"
"","Talen Horton-Tucker","Chi","G","24","16","10.9","22.3","9.8","27","0.741","42","0.595","31","0.516","0.671","0.695","7.4","1.9","1.5","0.1","0.3","0.5","9.3","8.9","10.8","10.1","135","116.2"
"","Kyle Filipowski","Uta","C","21.1","14","19","16.2","15.5","29","0.517","46","0.652","30","0.3","0.572","0.575","7.3","4.7","2.1","0.6","0.1","1","12","9.4","14.1","8.8","115.2","112.2"
"","Malaki Branham","San","F","21.6","16","13.4","23.7","18.3","20","0.85","51","0.49","38","0.421","0.551","0.588","7.2","1.8","1.3","0.4","0.1","1.3","9","8.4","10.3","7.7","102.9","111.5"
"","Tyrese Martin","Bro","F","25.7","9","14.7","17","8.3","5","0.8","11","0.455","33","0.515","0.693","0.703","7.2","2.2","1.1","0.3","0.2","0.4","9.4","8.3","10.6","7.1","131.7","112"
"","Josh Green","Cha","G","24","19","27","10.9","11.8","13","0.615","52","0.385","60","0.483","0.567","0.573","7.1","2.5","1.6","0.7","0.3","0.8","9.6","8.7","11.3","4.5","117.2","110.1"
"","Davion Mitchell","Tor","G","26.2","22","27.8","14.2","23.2","26","0.654","80","0.5","72","0.278","0.461","0.48","7.1","2.3","5.2","0.9","0.2","2.1","9.4","12.4","14.6","6.3","100.3","111.5"
"","Keon Ellis","Sac","G","24.9","20","21.6","12.6","15.7","25","0.8","28","0.571","68","0.441","0.635","0.664","7.1","2.1","1","1.1","0.9","0.9","9.2","8.1","10.2","4.6","121.1","108.4"
"","Isaiah Jackson","Ind","F","22.9","5","16.8","17.5","17.7","14","0.5","23","0.609","0","0","0.609","0.6","7","5.6","1","0.6","1.6","1","12.6","8","13.6","8.1","118.4","101.6"
"","JT Thor","Cle","F","22.3","2","7.2","23.6","26.9","2","1","3","1","2","1","1.2","1.19","7","1","0","1","1","1","8","7","8","0","138.6","93.8"
"","Sam Merrill","Cle","G","28.6","18","19.8","14.3","7","8","0.875","12","0.667","94","0.362","0.557","0.571","6.9","1.7","1.8","0.6","0.3","0.4","8.7","8.7","10.4","5.6","118.3","107.5"
"","Haywood Highsmith","Mia","F","28","17","25","10.9","9","13","0.692","42","0.595","49","0.388","0.588","0.6","6.8","3","1.1","1.2","0.9","0.5","9.8","7.9","10.9","4.5","119.2","107.3"
"","Brandon Clarke","Mem","F","28.2","21","18","13.6","6.7","19","0.632","95","0.674","16","0.063","0.59","0.599","6.8","4.7","0.9","0.8","0.3","0.4","11.5","7.7","12.4","6.8","126.2","101.8"
"","Herbert Jones","Nor","F","26.2","4","28.3","11.6","16.5","2","0.5","14","0.714","11","0.182","0.52","0.522","6.8","2.5","1","1.8","0.3","1.3","9.3","7.8","10.3","3.6","96.6","115.1"
"","Cason Wallace","Okc","G","21.1","21","26.4","11.6","4.7","6","0.833","79","0.532","62","0.29","0.489","0.498","6.8","3.4","2.1","1.7","0.6","0.3","10.2","9","12.3","5.5","115.6","103.3"
"","Kris Dunn","Lac","G","30.7","23","22.6","13.7","14.9","10","0.5","70","0.571","67","0.343","0.544","0.545","6.7","3.8","2.7","1.5","0.3","1","10.5","9.4","13.2","7.3","111.7","98.6"
"","Javonte Green","Nor","G","31.4","22","24.3","11.7","9.1","39","0.769","66","0.5","53","0.321","0.492","0.54","6.7","3.5","0.9","1.1","0.7","0.5","10.2","7.6","11.1","4.5","113.8","117.4"
"","Luke Kennard","Mem","G","28.4","14","19.7","12.9","12.1","14","0.786","20","0.5","52","0.404","0.576","0.601","6.7","2.4","2.9","0.6","0.1","0.7","9.1","9.6","12.1","7.3","126.6","113"
"","Elfrid Payton","Nor","G","30.8","7","20.5","19.7","30.2","2","0.5","45","0.511","1","0","0.5","0.501","6.7","3.4","6.9","1.4","0.4","2.9","10.1","13.6","17","10.5","98.9","113.2"
"","Kevin Love","Mia","F-C","36.2","9","12.3","26.4","9.5","9","0.667","24","0.292","33","0.394","0.465","0.484","6.6","5.6","1","1.3","0.1","0.7","12.1","7.6","13.1","10.8","102.6","96.9"
"","Simone Fontecchio","Det","F","29","21","18.4","15.4","11.8","28","0.786","35","0.514","77","0.338","0.509","0.547","6.5","3.1","0.8","0.3","0.2","0.7","9.6","7.3","10.4","5.5","108","108.8"
"","Jaxson Hayes","Lal","C-F","24.5","11","17.4","12.4","18","23","0.783","36","0.722","0","0","0.722","0.759","6.4","4.5","0.8","0.4","0.8","0.7","10.9","7.2","11.7","6.5","143.7","103.9"
"","Isaiah Stewart","Det","F-C","23.5","23","21.7","12.5","21.3","33","0.879","83","0.627","20","0.25","0.578","0.63","6.4","6.3","1.9","0.5","1.4","1.2","12.8","8.3","14.7","7.8","123.5","100.7"
"","Terance Mann","Lac","G-F","28.1","23","21","13.5","9.2","24","0.667","81","0.494","47","0.34","0.5","0.52","6.3","3.1","1.7","1","0.2","0.6","9.3","8","11.1","6.1","114.2","103.3"
"","Neemias Queta","Bos","C","25.4","18","18.2","12.8","13.7","22","0.773","73","0.658","2","0","0.64","0.667","6.3","5.3","0.8","0.2","1","0.7","11.6","7.1","12.3","6.6","134.7","101.4"
